genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Wnt10a,1.8617300840397763e-214,10.12204077061426,0.144,0,3.738167835743466e-210,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Lhx9,1.4708567092893063e-186,4.745186465223302,0.794,0.06,2.953333186581998e-182,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rmst,1.3209705618540872e-178,4.358753898292092,0.948,0.096,2.652376791146822e-174,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Prox1,7.48977922142019e-172,4.648569478696607,0.763,0.059,1.5038727698689602e-167,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Tmem132c,1.880199593262845e-171,4.159221524109032,0.67,0.043,3.775252763312466e-167,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Synpr,1.1955049677196977e-153,4.418025598249339,0.835,0.083,2.4004544246843815e-149,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rerg,5.636574080129149e-151,4.071650489820845,0.691,0.053,1.1317677095491319e-146,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Prox1os,1.4310044361109947e-146,5.199577371085279,0.402,0.017,2.873313807267266e-142,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Shisal2b,3.431381058303278e-142,5.314685848556653,0.258,0.006,6.889870026967151e-138,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Tac2,7.240118095101638e-142,5.114047979860727,0.443,0.022,1.453743312315458e-137,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
E330013P04Rik,4.7185619689152385e-141,3.8757297223715903,0.536,0.032,9.474400577384907e-137,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Insc,1.2204955972623443e-123,5.574552975311764,0.227,0.005,2.450633109743061e-119,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Tesc,4.032211316635291e-110,4.203538884635451,0.454,0.03,8.096277102671999e-106,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Wnt5a,8.448640047289426e-102,3.4924729677719366,0.701,0.083,1.6964024350952437e-97,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Lef1,3.6999058897282745e-100,3.2246808127438618,0.742,0.094,7.429041035985403e-96,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Nhlh2,3.0262163103197737e-99,3.1158885436326624,0.608,0.063,6.076339729491074e-95,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Mndal,4.109602884622785e-99,3.6980144881081594,0.557,0.052,8.251671632034092e-95,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Thsd7b,5.052263620158322e-98,3.617279152128571,0.608,0.064,1.0144440122915896e-93,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Stat3,7.093259975943329e-96,3.4375425963421877,0.845,0.14,1.4242556705696607e-91,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Dusp14,1.9461490302173636e-93,3.2327878361217968,0.876,0.157,3.907672637773445e-89,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Gm5087,1.0690006286276551e-92,3.467815607455988,0.67,0.084,2.146446362221468e-88,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Mfap4,5.2946562082095e-92,4.254310645516817,0.948,0.218,1.0631140200463852e-87,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Btbd17,2.830964159159913e-90,3.0811810043909515,0.907,0.17,5.684292935177188e-86,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Slc1a2,3.537182902080806e-88,3.266297379721036,0.918,0.189,7.102309549088052e-84,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rdh5,1.411584780392228e-86,3.719942327042912,0.474,0.043,2.834321080549554e-82,15,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
