genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Tyrobp,0,10.955490208776162,0.353,0.001,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
C1qb,0,11.763047770772422,0.345,0.001,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Fcrls,0,10.542342909624756,0.336,0.002,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
C1qc,0,11.364129936856855,0.328,0.001,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ctss,0,10.660179399918611,0.328,0.002,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Spi1,0,9.216231241744543,0.319,0.002,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
C1qa,0,11.41806874396766,0.319,0.002,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Crybb1,0,10.321316853317883,0.319,0.002,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cd300c2,0,10.218051677368912,0.293,0,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Aif1,0,12.949092437578011,0.293,0,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Trem2,0,10.72572817717424,0.293,0.001,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Rac2,0,9.247316271874109,0.284,0.001,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Csf1r,0,11.053606605241743,0.276,0.001,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cd53,0,9.457239341248338,0.267,0.001,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ccl3,0,12.064921918469578,0.267,0.001,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Apbb1ip,0,11.015234794369226,0.259,0,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cd86,0,11.457239341248338,0.25,0,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ighm,0,9.679631762584783,0.241,0,0,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ltc4s,2.5325e-303,8.959739681777522,0.276,0.001,5.09206093e-299,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ccl4,2.493435334e-298,12.364129936856855,0.267,0.001,5.013550425302e-295,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Fcgr3,1.1463808508800001e-296,8.980801297305351,0.302,0.002,2.305027976859806e-292,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Pld4,2.1472128545157e-294,9.516133030301908,0.259,0.001,4.317400886574716e-292,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Evi2a,1.4617140042749489e-291,8.852098958589552,0.25,0.001,2.9390683483956397e-291,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cyth4,3.8368470320698474e-289,8.022023960031865,0.284,0.002,7.714748327382842e-285,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cryba4,2.1504630648711037e-286,10.139063381222083,0.216,0,4.323936084536329e-282,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Pik3ap1,2.200574609985565e-286,9.87227684052718,0.216,0,4.424695368297975e-282,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Siglech,1.7267286465876775e-284,10.042201841969494,0.207,0,3.4719332896938427e-280,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
C3ar1,2.497564561634944e-283,10.803014178090068,0.198,0,5.0218530640793805e-279,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Mpeg1,4.553439955558662e-283,11.87227684052718,0.19,0,9.1556017186418e-279,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Fcer1g,7.718248976395135e-283,9.94266616841858,0.328,0.004,1.5519083216837694e-278,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Adgre1,1.9693004516303324e-279,9.59109508798313,0.224,0.001,3.95967241809311e-275,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Lyz2,5.413846434241434e-267,12.00450113278427,0.216,0.001,1.0885621025329252e-262,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ikzf1,7.813731845113887e-267,9.194204935414543,0.216,0.001,1.5711070620970492e-262,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Cd52,1.0539323857024029e-263,9.63781158689016,0.207,0.001,2.1191418479318217e-259,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Laptm5,2.7972788707577516e-255,8.29122938980941,0.319,0.005,5.6244886254326106e-251,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Ptprc,1.1791070066292383e-244,11.229828845145263,0.164,0,2.3708304582294094e-240,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Psmb8,1.752193285561112e-237,7.3083759553338545,0.25,0.002,3.5231350392777266e-233,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
Gmfg,5.665998765584133e-237,6.720273747082132,0.31,0.005,1.1392623717960016e-232,15,seurat_posthocfilt_threshold_doubletfinder_soupx_tenx_10xmousebrain
