genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Tyrobp,0,11.287218566008338,0.287,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Spi1,0,9.687895056391335,0.272,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
C1qb,0,11.509818823553587,0.272,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Fcrls,0,11.012891170318069,0.265,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Ctss,0,10.903501282777045,0.257,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
C1qa,0,12.411054851032514,0.25,0,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Cd300c2,0,10.651058288210963,0.243,0,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Trem2,0,11.316639249140406,0.235,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Cd53,0,10.096858041260496,0.228,0,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Csf1r,0,12.04100480652698,0.213,0,0,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Ccl4,1.0000000000000001e-307,12.642743019998962,0.228,0.001,2.00956e-302,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Rac2,1.0000000000000001e-307,9.51189554053934,0.228,0.001,2.00956e-302,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
C1qc,3.95e-305,11.28973137567689,0.257,0.001,8.03825e-302,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Ltc4s,4.13e-305,9.71364282558899,0.221,0.001,8.3999717e-300,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Crybb1,1.128683e-301,10.060849617923852,0.25,0.001,2.29540279324e-296,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Cd86,1.4305236e-300,11.61750572849994,0.206,0,2.90925584482e-296,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Adgre1,1.778487e-301,12.04100480652698,0.191,0,3.6169090493e-297,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Evi2a,5.920592189458411e-292,9.208114792362238,0.206,0,1.2040708335701571e-292,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Cryba4,1.6886615944194115e-291,11.059863833778294,0.191,0,3.434231084570757e-292,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Aif1,2.972767915917881e-292,9.459833884968198,0.235,0.001,6.045718110602195e-292,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Fcgr3,2.5894609454956172e-291,9.06991749844222,0.243,0.002,5.266186724854437e-288,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Lyz2,3.1820146674977696e-292,14.690922749088903,0.176,0,6.471263229290215e-288,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Fcer1g,8.276749822921799e-274,10.177445962746663,0.265,0.003,1.6832426114876064e-269,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Ighm,2.3444535809246605e-273,9.515543317554483,0.191,0.001,4.767915247526483e-269,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
C3ar1,5.547960127626164e-268,11.347666144761032,0.162,0,1.128288651155333e-263,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Cyth4,2.219655909384077e-262,7.837471412441848,0.235,0.002,4.514114222914396e-258,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Apbb1ip,1.5532745385396103e-259,9.36293290141434,0.199,0.001,3.1588944290280057e-255,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Pld4,3.714585818798231e-256,8.963002294525706,0.206,0.001,7.554353179689963e-252,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Rgs1,9.437072682404611e-244,11.942824412588076,0.147,0,1.9192174714206256e-239,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Laptm5,4.547880515216338e-235,8.272049098116337,0.265,0.004,9.249024603795467e-231,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Mpeg1,1.2195624576741129e-231,11.407787137198602,0.14,0,2.4802241701718435e-227,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Pik3ap1,1.2195636116831409e-231,11.46550263505489,0.14,0,2.480226517080003e-227,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Ccl3,7.451977583415543e-225,10.951737468429894,0.213,0.002,1.5155086811392188e-220,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Ptprc,1.5667750342938436e-219,11.04100480652698,0.132,0,3.1863503872433893e-215,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
Cd52,1.5668417369359964e-219,11.574437006608054,0.132,0,3.1864860404067355e-215,15,seurat_posthocfilt_threshold_scdblfinder_cellbender_fromraw_10xmousebrain
