genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Tyrobp,0,11.1702012263452,0.339,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
C1qb,0,11.673305837057413,0.331,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Fcrls,0,10.333682370255673,0.315,0.002,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
C1qc,0,11.680113021805097,0.306,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Spi1,0,9.164906926675688,0.306,0.002,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Ctss,0,10.33917985392807,0.306,0.002,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
C1qa,0,11.32670006344638,0.306,0.002,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Crybb1,0,9.878318941962531,0.29,0.002,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Cd300c2,0,9.818040930038425,0.274,0,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Aif1,0,12.911150334429903,0.274,0,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Trem2,0,10.769131329557478,0.274,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Rac2,0,9.116264764334517,0.266,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Csf1r,0,11.514034743148324,0.266,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Ltc4s,0,9.535641199337698,0.258,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Ccl4,0,12.07001244063836,0.258,0.001,0,15,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
