genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Tnc,1.2657251373882363e-97,4.114575853332575,0.645,0.093,2.555752197414326e-93,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Adgrv1,7.829199974327674e-72,3.392095194908177,0.686,0.146,1.580872058816244e-67,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Plce1,1.4283163913377169e-71,3.2550888290041007,0.545,0.086,2.8840564573891174e-67,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Sox6,3.6029152921184846e-61,2.172700113721213,1,0.365,7.275006557845645e-57,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
H3f3a,9.030635088052099e-59,-1.4198388067036305,1,1,1.8234658369794794e-54,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Tmsb4x,9.490168245698624e-58,-2.157138835451766,1,0.994,1.9162547721714663e-53,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Ubb,5.903758310323354e-57,-1.406563983170388,1,1,1.1920868780204915e-52,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Creb5,6.634096058027278e-57,2.973769725909955,0.802,0.293,1.3395566760368679e-52,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Slco1c1,1.3629143541747668e-55,3.0051065333898777,0.521,0.099,2.7519966639496895e-51,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Gm29260,2.9173190641099967e-54,2.4746449126880607,0.967,0.466,5.890650654250906e-50,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Stmn1,4.4256103318147503e-54,-1.7639629094506022,1,0.991,8.936192382000344e-50,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Actb,1.0287704137784511e-53,-1.5666907639787304,1,0.998,2.0772932195014488e-49,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Slc1a3,3.1807260326229276e-53,2.040044430356791,0.917,0.345,6.422522005072217e-49,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
H3f3b,4.177259393439754e-53,-1.5591268113301573,1,0.994,8.434722167233549e-49,15,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
